song,artist,labels
Rag Doll,Four Seasons,Philips
Ronnie,Four Seasons,Philips
Dawn (Go Away),Four Seasons,Philips
Baby I Need Your Loving,Four Tops,Motown
We'll Sing In The Sunshine,Gale Garnett,Collectables
It Hurts To Be In Love,Gene Pitney,Stateside
Don't Let The Sun Catch You Crying,Gerry and The Pacemakers,Laurie Records
How Do You Do It!,Gerry and The Pacemakers,?
Little Honda,Hondells,Mercury
Have I The Right?,Honeycombs,Astor
I'm So Proud,Impressions,American Pie
Keep On Pushing,Impressions,ABC Records
Last Kiss,J. Frank Wilson and The Cavaliers,?
Dead Man's Curve,Jan and Dean,Liberty
The Little Old Lady,Jan and Dean,Liberty
Come A Little Bit Closer,Jay and The Americans,United Artists Records
I Wanna Love Him So Bad,Jelly Beans,Red Bird
Steal Away,Jimmy Hughes,Vee Jay Records
Funny,Joe Hinton,Back Beat
Memphis,Johnny Rivers,Capitol Records
Louie Louie,Kingsmen,Intercord
Money,Kingsmen,Fontana
You Really Got Me,Kinks,Old Gold
You Don't Own Me,Lesley Gore,Mercury
"Hello, Dolly!",Louis Armstrong,Domido
"Um, Um, Um, Um, Um, Um",Major Lance,Epic
Do Wah Diddy Diddy,Manfred Mann,Ascot Records
Out Of Limits,Marketts,Warner Bros. Records
Dancing In The Street,Martha and The Vandellas,Tamla Motown
My Guy,Mary Wells,Motown
My Boy Lollipop,Millie Small,Fontana
(You Don't Know) How Glad I Am,Nancy Wilson,Capitol Records
Today,New Christy Minstrels,Columbia
Bread And Butter,Newbeats,Hickory Records
A World Without Love,Peter and Gordon,First Record
(Just Like) Romeo And Juliet,Reflections,Stateside
For You,Rick Nelson,?
Hey Little Cobra,Rip Chords,Sound Of Yesterday
Dang Me,Roger Miller,Philips
Chug-a-lug,Roger Miller,Philips
G.T.O.,Ronny and The Daytona,?
It's Over,Roy Orbison,London Records
"Oh, Pretty Woman",Roy Orbison,Monument
The Shelter Of Your Arms,Sammy Davis Jr.,?
Don't Throw Your Love Away,Searchers,Pye Records
Needles And Pins,Searchers,Pye Records
Don't Let The Rain Come Down (Crooked Little Man),Serendipity Singers,Philips
Remember (Walkin' In The Sand),Shangri-Las,?
Leader Of The Pack,Shangri-Las,?
The Girl From Ipanema,Stan Getz and Astrud Gilberto,?
Where Did Our Love Go,Supremes,Motown
What Kind Of Fool (Do You Think I Am),Tams,MCA Records
The Way You Do The Things You Do,Temptations,Tamla
Suspicion,Terry Stafford,Crusader Records
Surfin' Bird,Trashmen,Garrett Records
Walk Don't Run '64,Ventures,Song Jwu Record
The Boy From New York City,Ad Libs,SSS International
We Gotta Get Out Of This Place,Animals,MGM Records
Baby I'm Yours,Barbara Lewis,Atlantic
"Yes, I'm Ready",Barbara Mason,ARCTIC
Eve Of Destruction,Barry McGuire,RCA
California Girls,Beach Boys,Capitol Records
"Help Me, Rhonda",Beach Boys,Capitol Records
Help!,Beatles,Apple Records
Ticket To Ride,Beatles,Parlophone
Eight Days A Week,Beatles,Parlophone
Just A Little,Beau Brummels,REO
"Laugh, Laugh",Beau Brummels,Autumn Records
Down In The Boondocks,Billy Joe Royal,Columbia
Like A Rolling Stone,Bob Dylan,Columbia
Little Things,Bobby Goldsboro,United Artists Records
Too Many Rivers,Brenda Lee,Decca
Mr. Tambourine Man,Byrds,Not On Label
All I Really Want To Do,Cher,Imperial
Catch Us If You Can,Dave Clark Five,Columbia
I Like It Like That,Dave Clark Five,Columbia
Keep Searchin',Del Shannon,Quality
I'm A Fool,"Dino, Desi and Billy",?
Crying In The Chapel,Elvis Presley,Sony BMG Music Entertainment
You've Got Your Troubles,Fortunes,Decca
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,SoundDub
It's The Same Old Song,Four Tops,Motown
I'm Telling You Now,Freddie and The Dreamers,EMI
Save Your Heart For Me,Gary Lewis and The Playboys,Liberty
This Diamond Ring,Gary Lewis and The Playboys,Liberty
Count Me In,Gary Lewis and The Playboys,Liberty
Ferry Cross The Mersey,Gerry and The Pacemakers,Columbia
Baby The Rain Must Fall,Glenn Yarbrough,RCA Victor
A Taste of Honey,Herb Alpert and the Tijuana Brass,A&M Records
Silhouettes,Herman's Hermits,?
Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,?
Can't You Hear My Heartbeat,Herman's Hermits,?
"I'm Henry VIII, I Am",Herman's Hermits,?
Wonderful World,Herman's Hermits,?
A Walk In The Black Forest,Horst Jankowski,Global Records
You Turn Me On,Ian Whitcomb,Ember Records
The Race Is On,Jack Jones,Kapp Records
What The World Needs Now Is Love,Jackie DeShannon,Capitol Records
Papa's Got A Brand New Bag,James Brown and The Famous Flames,London Records
"Cara, Mia",Jay and The Americans,United Artists Records
Hold What You've Got,Joe Tex,Warner-Pioneer Corporation
Seventh Son,Johnny Rivers,Imperial
Shotgun,Jr. Walker and The All Stars,?
The Jolly Green Giant,Kingsmen,Reo
All Day And All Of The Night,Kinks,Disques Vogue
Tired Of Waiting For You,Kinks,Pye Records
Take Me Back,Little Anthony and The Imperials,DCP International
Do You Believe In Magic,Lovin' Spoonful,Kama Sutra
Nowhere To Run,Martha and The Vandellas,Tamla Motown
I'll Be Doggone,Marvin Gaye,Tamla
How Sweet It Is (To Be Loved By You),Marvin Gaye,Tamla
Hang On Sloopy,McCoys,Gamma
"Hold Me, Thrill Me, Kiss Me",Mel Carter,Imperial
Ooo Baby Baby,Miracles,Tamla
The Tracks Of My Tears,Miracles,Tamla Motown
Go Now,Moody Blues,Immediate
"Hush, Hush, Sweet Charlotte",Patti Page,CBS
Don't Just Stand There,Patty Duke,United Artists Records
True Love Ways,Peter and Gordon,Columbia
I Go To Pieces,Peter and Gordon,Capitol Records
Downtown,Petula Clark,Joe Boy Records
I Know A Place,Petula Clark,Astor
"The ""In"" Crowd",Ramsey Lewis Trio,Baybridge Records
Unchained Melody,Righteous Brothers,First Record
Just Once In My Life,Righteous Brothers,London Records
You've Lost That Lovin' Feelin',Righteous Brothers,Metronome
King Of The Road,Roger Miller,Mercury
The Last Time,Rolling Stones,Decca
(I Can't Get No) Satisfaction,Rolling Stones,ABKCO
Treat Her Right,Roy Head,Disques Vogue
Shake,Sam Cooke,RCA Victor
Wooly Bully,Sam The Sham and The Pharaohs,MGM Records
Love Potion Number Nine,Searchers,Pye Records
I'll Never Find Another You,Seekers,Capitol Records
Goldfinger,Shirley Bassey,Fame
The Name Game,Shirley Ellis,Congress
She's About A Mover,Sir Douglas Quintet,London Records
Laugh At Me,Sonny,Atlantic
Baby Don't Go,Sonny and Cher,Reprise Records
I Got You Babe,Sonny and Cher,Atlantic
Cast Your Fate To The Wind,Sounds Orchestral,Disques Vogue
I Want Candy,Strangeloves,Stateside
Back In My Arms Again,Supremes,Motown
Stop! In The Name Of Love,Supremes,Karussell
My Girl,Temptations,Epic Soundtrax
Yesterday,The Beatles,Parlophone
What's New Pussycat?,Tom Jones,Decca
It's Not Unusual,Tom Jones,Parrot
The Shadow of Your Smile,Tony Bennett,Columbia
It Ain't Me Babe,Turtles,Festival Records Pty. Ltd.
Red Roses For A Blue Lady,Vic Dana,Dolton Records
Game Of Love,Wayne Fontana and The Mindbenders,Fontana
You Were On My Mind,We Five,London Records
For Your Love,Yardbirds,ARC Records
Heart Full Of Soul,Yardbirds,Riviera
Tell Her No,Zombies,Decca
96 Tears,? and The Mysterians,Cameo
Cherish,Association,Warner Bros. Records
Good Vibrations,Beach Boys,Axis
Sloop John B,Beach Boys,Collectables
Barbara Ann,Beach Boys,Capitol Records
We Can Work It Out,Beatles,Parlophone
Yellow Submarine,Beatles,Apple Records
Nowhere Man,Beatles,Parlophone
Paperback Writer,Beatles,Capitol Records
Elusive Butterfly,Bob Lind,Fontana
If I Were A Carpenter,Bobby Darin,Atlantic
I Fought The Law,Bobby Fuller Four,Munster Records
Sunny,Bobby Hebb,Vivid Sound
Coming On Strong,Brenda Lee,Decca
Cool Jerk,Capitols,Old Gold
B-A-B-Y,Carla Thomas,Atlantic
Bang Bang,Cher,Geffen Records
The More I See You,Chris Montez,Columbia
Psychotic Reaction,Count Five,Double Shot Records
The Pied Piper,Crispian St. Peters,?
Red Rubber Ball,Cyrkle,Sony BMG Music Entertainment
Almost Persuaded,David Houston,Epic
Love Makes The World Go Round,Deon Jackson,ATCO Records
Message To Michael,Dionne Warwick,Pye International
Sunshine Superman,Donovan,Epic
You Don't Have To Say You Love Me,Dusty Springfield,Philips
Reach Out I'll Be There,Four Tops,Collectables
Strangers In The Night,Frank Sinatra,Reprise Records
She's Just My Style,Gary Lewis and The Playboys,Liberty
See You In September,Happenings,Fontana
Zorba The Greek,Herb Alpert and The Tijuana Brass,Festival Records
What Now My Love,Herb Alpert and the Tijuana Brass,London Records
Dandy,Herman's Hermits,?
Bus Stop,Hollies,?
I'm Your Puppet,James and Bobby Purify,Mercury
What Becomes Of The Brokenhearted,Jimmy Ruffin,Tamla Motown
Poor Side Of Town,Johnny Rivers,RCA Victor
Secret Agent Man,Johnny Rivers,Polydor
Working In The Coal Mine,Lee Dorsey,Stateside
Walk Away Renee,Left Banke,Mercury
Black Is Black,Los Bravos,Decca
Lightnin' Strikes,Lou Christie,MGM Records
Love Is A Hurtin' Thing,Lou Rawls,Capitol Records
Summer In The City,Lovin' Spoonful,Success
Daydream,Lovin' Spoonful,Pye International
Did You Ever Have To Make Up Your Mind?,Lovin' Spoonful,Radio Active Gold
Don't Mess With Bill,Marvelettes,Tamla Motown
A Groovy Kind Of Love,Mindbenders,Fontana
Last Train To Clarksville,Monkees,RCA Victor
These Boots Are Made For Walkin',Nancy Sinatra,Private Stock
Winchester Cathedral,New Vaudeville Band,Fontana
Time Won't Let Me,Outsiders,Capitol Records
Hungry,Paul Revere and The Raiders,Columbia
Kicks,Paul Revere and The Raiders,CBS
Just Like Me,Paul Revere and The Raiders,CBS
When A Man Loves A Woman,Percy Sledge,Koala
Woman,Peter and Gordon,Columbia
Lady Godiva,Peter and Gordon,Capitol Records
My Love,Petula Clark,Vogue Schallplatten
Crying Time,Ray Charles,ABC-Paramount
Somewhere My Love,Ray Conniff and The Singers,CBS
(You're My) Soul And Inspiration,Righteous Brothers,Verve Records
Barefootin',Robert Parker,Nola Records
Born Free,Roger Williams,Kapp Records
Paint It Black,Rolling Stones,Decca
19th Nervous Breakdown,Rolling Stones,London Records
Lil' Red Riding Hood,Sam The Sham and The Pharaohs,MGM Records
Guantanamera,Sandpipers,A&M Records
Born A Woman,Sandy Posey,MGM Records
The Ballad Of The Green Berets,Sgt. Barry Sadler,?
Oh How Happy,Shades Of Blue,Barry
Gloria,Shadows Of Knight,Dunwich
The Sounds Of Silence,Simon and Garfunkel,CBS/Sony
Homeward Bound,Simon and Garfunkel,Columbia
I Am A Rock,Simon and Garfunkel,CBS
Baby Scratch My Back,Slim Harpo,Excello
Dirty Water,Standells,AVI Antiques
Uptight (Everything's Alright),Stevie Wonder,Tamla Motown
You Can't Hurry Love,Supremes,Motown
My World Is Empty Without You,Supremes,Not On Label
You Keep Me Hangin' On,Supremes,Tamla Motown
Beauty Is Only Skin Deep,Temptations,Gordy
Ain't Too Proud To Beg,Temptations,Tamla Motown
"Monday, Monday",The Mamas & the Papas,RCA Victor
Hanky Panky,Tommy James and The Shondells,Roulette
Hooray For Hazel,Tommy Roe,Roulette
Sweet Pea,Tommy Roe,Large World
Wild Thing,Troggs,The Collection
You Baby,Turtles,Immediate
Five O'clock World,Vogues,Pickwick/33 Records
634-5789,Wilson Pickett,Atlantic
Shapes Of Things,Yardbirds,Ricordi International
Good Lovin',Young Rascals,Belter
Tell It Like It Is,Aaron Neville,Collectables
Baby I Love You,Aretha Franklin,Rhino Records
Respect,Aretha Franklin,WEA Records Ltd.
Sweet Soul Music,Arthur Conley,Atlantic
Never My Love,Association,Warner Bros. Records
Windy,Association,Warner Bros. Records
Soul Finger,Bar-Kays,?
Penny Lane,Beatles,Parlophone
All You Need Is Love,Beatles,Capitol Records
Ode To Billie Joe,Bobby Gentry,?
Please Love Me Forever,Bobby Vinton,Epic
Groovin',Booker T and The MG's,?
The Letter,Box Tops,Bell Records
Gimme Little Sign,Brenton Wood,Havoc
Don't You Care,Buckinghams,Columbia
Kind Of A Drag,Buckinghams,USA Records
"Mercy, Mercy, Mercy",Buckinghams,CBS
For What It's Worth,Buffalo Springfield,ATCO Records
Then You Can Tell Me Goodbye,Casinos,Fraternity Records
"The Rain, The Park And Other Things",Cowsills,MGM Records
Reflections,Diana Ross and The Supremes,?
Alfie,Dionne Warwick,Scepter Records
Light My Fire,Doors,On Stage
My Cup Runneth Over,Ed Ames,RCA Victor
I Had Too Much To Dream Last Night,Electric Prunes,Reprise Records
Release Me (And Let Me Love Again),Engelbert Humperdinck,London Records
Get On Up,Esquires,Ju-Par Records
Come On Down To My Boat,Every Mothers' Son,MGM Records
"Up, Up And Away",Fifth Dimension,Soul City
Western Union,Five Americans,Abnak Records
Bernadette,Four Tops,Tamla Motown
Can't Take My Eyes Off You,Frankie Valli,The Four Seasons Record Company
By the Time I Get to Phoenix,Glen Campbell,Sounds Superb
Let's Live For Today,Grass Roots,RCA Victor
I Got Rhythm,Happenings,B.T. Puppy Records
There's A Kind Of Hush,Herman's Hermits,?
On A Carousel,Hollies,Parlophone
Carrie Ann,Hollies,Epic
Let It Out (Let It All Hang Out),Hombres,Verve Forecast
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,ZYX Records
Cold Sweat,James Brown and The Famous Flames,Polydor
Society's Child,Janis Ian,Polydor
"Apples, Peaches, Pumpkin Pie",Jay and The Techniques,Smash Records
White Rabbit,Jefferson Airplane,RCA Victor
Somebody To Love,Jefferson Airplane,RCA Victor
Baby I Need Your Lovin',Johnny Rivers,Liberty
98.6,Keith,Mercury
California Nights,Lesley Gore,Mercury
To Sir With Love,Lulu,Epic
Dedicated To The One I Love,Mama's and The Papa's,?
Jimmy Mack,Martha and The Vandella,?
Your Precious Love,Marvin Gaye and Tammi Terrell,Tamla
Ain't No Mountain High Enough,Marvin Gaye and Tammi Terrell,Tamla
Pleasant Valley Sunday,Monkees,Colgems
Daydream Believer,Monkees,RCA Victor
I'm A Believer,Monkees,Arista
Little Bit O' Soul,Music Explosion,Repertoire Records
Somethin' Stupid,Nancy Sinatra and Frank Sinatra,?
"Girl, You'll Be A Woman Soon",Neil Diamond,Stateside
Thank The Lord For The Night Time,Neil Diamond,Bang Records
Close Your Eyes,Peaches and Herb,Date
I Dig Rock And Roll Music,"Peter, Paul and Mary",?
This Is My Song,Petula Clark,Disques Vogue
Don't Sleep In The Subway,Petula Clark,Disques Vogue
A Whiter Shade Of Pale,Procol Harum,Polydor
Here We Go Again,Ray Charles,Artone
Everlasting Love,Robert Knight,Collectables
Ruby Tuesday,Rolling Stones,Decca
Snoopy Vs. The Red Baron,Royal Guardsmen,Laurie Records
Soul Man,Sam and Dave,Success
I Take It Back,Sandy Posey,MGM Records
San Francisco,Scott Mckenzie,CBS
Georgy Girl,Seekers,Capitol Records
Expressway To Your Heart,Soul Survivors,Columbia Stateside
Gimme Some Lovin',Spencer Davis Group,Liberty
I Was Made To Love Her,Stevie Wonder,Tamla Motown
Incense And Peppermints,Strawberry Alarm Clock,Durium
The Happening,Supremes,Tamla Motown
Love Is Here And Now You're Gone,Supremes,Motown
You're My Everything,Temptations,Tamla Motown
"Green, Green Grass Of Home",Tom Jones,Decca
Mirage,Tommy James and The Shondells,Roulette
I Think We're Alone Now,Tommy James and The Shondells,Roulette
Silence Is Golden,Tremeloes,Success
Here Comes My Baby,Tremeloes,Epic
Happy Together,Turtles,PAX
She'd Rather Be With Me,Turtles,London Records
Brown Eyed Girl,Van Morrison,Evergreens
It Must Be Him,Vicki Carr,?
I Can See For Miles,Who,Decca
Funky Broadway,Wilson Pickett,Atlantic
How Can I Be Sure,Young Rascals,Atlantic
Groovin',Young Rascals,Atlantic
I've Been Lonely Too Long,Young Rascals,Atlantic
"1, 2, 3, Red Light",1910 Fruitgum Company,Buddah Records
Simon Says,1910 Fruitgum Company,Buddah Records
Bend Me Shape Me,American Breed,Dot Records
Tighten Up,Archie Bell and The Drells,Music On Vinyl
I Say A Little Prayer,Aretha Franklin,Atlantic
Think,Aretha Franklin,Atlantic
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,Atlantic
Hey Jude,Beatles,AnTrop
Lady Madonna,Beatles,Apple Records
Revolution,Beatles,Vigotone
I've Gotta Get A Message To You,Bee Gees,ATCO Records
Piece Of My Heart,Big Brother and The Holding Company,CBS
Summertime Blues,Blue Cheer,Philips
Honey,Bobby Goldsboro,Liberty
Cry Like A Baby,Box Tops,Bell Records
Time Has Come Today,Chambers Brothers,Columbia
Slip Away,Clarence Carter,Atlantic
Spooky,Classics IV,Imperial
Indian Lake,Cowsills,MGM Records
Fire,Crazy World Of Arthur Brown,Polydor
White Room,Cream,Polydor
Sunshine Of Your Love,Cream,Polydor
Suzie Q.,Creedence Clearwater Revival,Liberty
La-La Means I Love You,Delfonics,Collectables
Stay In My Corner,Dells,20th Century Fox Records
Love Child,Diana Ross and The Supremes,?
(Theme From) Valley Of The Dolls,Dionne Warwick,Pye International
Do You Know The Way To San Jose,Dionne Warwick,Pye International
Hurdy Gurdy Man,Donovan,Epic
"Hello, I Love You",Doors,Elektra
Sky Pilot,Eric Burdon and The Animals,MGM Records
Stoned Soul Picnic,Fifth Dimension,Soul City
Bottle Of Wine,Fireballs,Atco Records
"Baby, Now That I've Found You",Foundations,Sequel Records
Reach Out Of The Darkness,Friend and Lover,Collectors' Choice Music
Sealed With A Kiss,Gary Lewis and The Playboys,Liberty
Young Girl,Gary Puckett and The Union Gap,Columbia
Over You,Gary Puckett and The Union Gap,CBS
Lady Willpower,Gary Puckett and The Union Gap,CBS
"Woman, Woman",Gary Puckett and The Union Gap,Columbia
Playboy,Gene and Debbe,TRX
The Ballad Of Bonnie And Clyde,Georgie Fame,CBS
Wichita Lineman,Glen Campbell,Capitol Records
Midnight Confessions,Grass Roots,KRB Music Companies
This Guy's In Love With You,Herb Alpert,Old Gold
Grazing In The Grass,Hugh Masekela,UNI Records
"The Good, The Bad And The Ugly",Hugo Montenegro,Rca Victor
Nobody But Me,Human Beinz,Capitol Records
Cowboys To Girls,Intruders,Ember Records
The Unicorn,Irish Rovers,MCA Records
I Got The Feelin',James Brown and The Famous Flames,King Records
Say It Loud I'm Black And I'm Proud,James Brown and The Famous Flames,Polydor
Harper Valley P.T.A.,Jeannie C. Riley,?
"Hey, Western Union Man",Jerry Butler,Mercury
Never Give You Up,Jerry Butler,Mercury
Judy In Disguise (With Glasses),John Fred and His Playboy Band,Pye International
Hold Me Tight,Johnny Nash,Tizoc
Light My Fire,Jose Feliciano,?
Green Tambourine,Lemon Pipers,Repertoire Records
Goin' Out Of My Head,Lettermen,Capitol Records
The Mighty Quinn,Manfred Mann,Mercury
You're All I Need To Get By,Marvin Gaye and Tammi Terrell,Tamla Motown
Ain't Nothing Like The Real Thing,Marvin Gaye and Tammi Terrell,Tamla Motown
Those Were The Days,Mary Hopkin,Apple Records
Classical Gas,Mason Williams,Warner Bros. - Seven Arts Records
Angel Of The Morning,Merrilee Rush,World Record Club
Cab Driver,Mills Brothers,Dot Records
Little Green Apples,O.C. Smith,?
"Yummy, Yummy, Yummy",Ohio Express,Buddah Records
Girl Watcher,O'Kaysions,?
(Sittin' On) The Dock Of The Bay,Otis Redding,Atlantic
Love Is Blue,Paul Mauriat,Philips
I Love You,People,Capitol Records
Take Time To Know Her,Percy Sledge,Atlantic
A Beautiful Morning,Rascals,Atlantic
People Got To Be Free,Rascals,Atlantic
MacArthur Park,Richard Harris,RCA Victor
Jumpin' Jack Flash,Rolling Stones,Decca
I Thank You,Sam and Dave,Atlantic
The Look Of Love,Sergio Mendes and Brasil '66,?
The Fool On The Hill,Sergio Mendes and Brasil '66,?
Here Comes The Judge,Shorty Long,Soul
Scarborough Fair,Simon and Garfunkel,CBS/Sony
Mrs. Robinson,Simon and Garfunkel,Grapefruit
Dance To The Music,Sly and The Family Stone,Epic
If You Can Want,Smokey Robinson and The Miracles,?
Pictures Of Matchstick Men,Status Quo,Pye Records
Born To Be Wild,Steppenwolf,MCA Records
Magic Carpet Ride,Steppenwolf,Odeon
Sweet Inspiration,Sweet Inspirations,Atlantic
I Wish It Would Rain,Temptations,Gordy
Delilah,Tom Jones,Decca
I Wonder What She's Doing Tonight,Tommy Boyce and Bobby Hart,?
"Mony, Mony",Tommy James and The Shondells,Concord
Love Is All Around,Troggs,Fontana
Elenore,Turtles,London Records
